fam;sp;environment;DF;SVL;logDF;logSVL
Centrolenidae;Hyalinobatrachium_valerioi;flowing;7250;24;8.8887567478;3.1780538303
Centrolenidae;Nymphargus_griffithsi;flowing;4107;24.2;8.320448114;3.1863526332
Centrolenidae;Nymphargus_pluvialis;flowing;3941;26.5;8.2791897772;3.277144733
Centrolenidae;Rulyrana_spiculata;flowing;4639;27.7;8.4422541048;3.3214324132
Centrolenidae;Teratohyla_midas;flowing;4680;26.8;8.4510533889;3.2884018875
Centrolenidae;Teratohyla_pulverata;flowing;5950;29;8.6911464985;3.36729583
Centrolenidae;Teratohyla_spinosa;flowing;7000;20;8.853665428;2.9957322736
Centrolenidae;Vitreorana_antisthenesi;flowing;5432;27;8.6000626692;3.295836866
Centrolenidae;Vitreorana_eurygnatha;flowing;4850;22.5;8.4867339839;3.1135153092
Centrolenidae;Vitreorana_gorzulae;flowing;4787;22.5;8.4736591894;3.1135153092
Centrolenidae;Vitreorana_helenae;flowing;4495;20.4;8.4107209469;3.0155349009
Ceratophryidae;Ceratophrys_cornuta;still;2176;72;7.685243608;4.276666119
Ceratophryidae;Ceratophrys_cranwelli;still;1715;130;7.4471683596;4.8675344505
Ceratophryidae;Ceratophrys_ornata;still;2000;125.8;7.6009024595;4.8346933443
Ceratophryidae;Chacophrys_pierottii;still;4357;53.1;8.3795390261;3.9721769282
Cycloramphidae;Cycloramphus_boraceiensis;flowing;1950;51.3;7.5755846516;3.9376907522
Cycloramphidae;Thoropa_miliaris;flowing;600;71.5;6.3969296552;4.2696974497
Dicroglossidae;Euphlyctis_cyanophlyctis;still;1651;45;7.4091364439;3.8066624898
Dicroglossidae;Euphlyctis_ehrenbergii;still;937;66;6.8426832822;4.189654742
Dicroglossidae;Fejervarya_limnocharis;still;2119;43;7.6586995583;3.7612001157
Dicroglossidae;Fejervarya_sakishimensis;still;1030;55.5;6.9373140812;4.0163830208
Dicroglossidae;Fejervarya_syhadrensis;still;3350;29.3;8.1167156248;3.377587516
Dicroglossidae;Hoplobatrachus_occipitalis;still;1250;104;7.1308988303;4.6443908991
Dicroglossidae;Hoplobatrachus_tigerinus;still;520;120;6.2538288116;4.7874917428
Dicroglossidae;Limnonectes_arathooni;flowing;3380;42;8.1256309885;3.7376696183
Dicroglossidae;Limnonectes_blythii;flowing;428;105.4;6.0591231956;4.6577626361
Dicroglossidae;Limnonectes_gyldenstolpei;flowing;1085;53;6.989335266;3.9702919136
Dicroglossidae;Limnonectes_microdiscus;flowing;875;48.6;6.7742238864;3.8836235309
Dicroglossidae;Paa_spinosa;flowing;834;101;6.7262334024;4.6151205168
Dicroglossidae;Sphaerotheca_breviceps;still;1950;48;7.5755846516;3.8712010109
Heleophrynidae;Hadromophryne_natalensis;flowing;1500;45;7.3132203871;3.8066624898
Heleophrynidae;Heleophryne_purcelli;flowing;2250;47;7.7186854952;3.8501476017
Heleophrynidae;Heleophryne_regis;flowing;1800;43;7.4955419439;3.7612001157
Hylidae;Agalychnis_annae;flowing;1165;73.9;7.060476366;4.302712828
Hylidae;Agalychnis_callidryas;still;2006;59;7.6038979685;4.0775374439
Hylidae;Agalychnis_litodryas;still;1664;72.2;7.4169796214;4.2794400459
Hylidae;Agalychnis_saltator;still;1800;54;7.4955419439;3.9889840466
Hylidae;Agalychnis_spurrelli;still;893;75.6;6.7945865809;4.3254562832
Hylidae;Aplastodiscus_albofrenatus;flowing;2500;40;7.8240460109;3.6888794541
Hylidae;Aplastodiscus_albosignatus;flowing;2630;52;7.8747391252;3.9512437186
Hylidae;Aplastodiscus_arildae;flowing;2847;41.6;7.9540210873;3.7281001673
Hylidae;Aplastodiscus_callipygius;flowing;1040;50.7;6.9469759921;3.9259259106
Hylidae;Argenteohyla_siemersi;still;1882;70;7.5400903201;4.248495242
Hylidae;Bokermannohyla_circumdata;flowing;1460;70;7.2861917147;4.248495242
Hylidae;Bokermannohyla_hylax;flowing;2000;61.5;7.6009024595;4.1190371748
Hylidae;Cyclorana_brevipes;still;1930;45;7.5652752819;3.8066624898
Hylidae;Cyclorana_cryptotis;still;1060;41;6.9660241871;3.7135720667
Hylidae;Cyclorana_cultripes;still;1879;52;7.5384949994;3.9512437186
Hylidae;Cyclorana_manya;still;2500;29.9;7.8240460109;3.3978584804
Hylidae;Dendropsophus_allenorum;still;3430;21.4;8.1403155402;3.063390922
Hylidae;Dendropsophus_anceps;still;3244;40;8.0845624152;3.6888794541
Hylidae;Dendropsophus_berthalutzae;still;4041;21;8.3042474651;3.0445224377
Hylidae;Dendropsophus_bifurcus;still;2958;28;7.9922686433;3.3322045102
Hylidae;Dendropsophus_bipunctatus;still;5426;25;8.5989574932;3.2188758249
Hylidae;Dendropsophus_brevifrons;still;4254;22;8.3556149958;3.0910424534
Hylidae;Dendropsophus_carnifex;still;2490;27.7;7.8200379895;3.3214324132
Hylidae;Dendropsophus_ebraccatus;still;2577;27.8;7.8543812107;3.3250360207
Hylidae;Dendropsophus_elegans;still;3500;29.6;8.1605182475;3.3877743613
Hylidae;Dendropsophus_giesleri;still;3300;25;8.1016777475;3.2188758249
Hylidae;Dendropsophus_koechlini;still;4500;24;8.4118326758;3.1780538303
Hylidae;Dendropsophus_labialis;still;1750;43;7.4673710669;3.7612001157
Hylidae;Dendropsophus_leali;still;6200;23;8.732304571;3.1354942159
Hylidae;Dendropsophus_leucophyllatus;still;2482;36;7.8168199658;3.5835189385
Hylidae;Dendropsophus_marmoratus;still;1514;44;7.322510434;3.7841896339
Hylidae;Dendropsophus_microcephalus;still;6210;24.5;8.7339161749;3.1986731176
Hylidae;Dendropsophus_minusculus;still;9186;20.6;9.1254358649;3.0252910758
Hylidae;Dendropsophus_nanus;still;4200;22;8.3428398043;3.0910424534
Hylidae;Dendropsophus_rhodopeplus;still;5670;24.2;8.6429443967;3.1863526332
Hylidae;Dendropsophus_riveroi;still;5314;20;8.5781001263;2.9957322736
Hylidae;Dendropsophus_robertmertensi;still;5388;26.4;8.5919295375;3.2733640102
Hylidae;Dendropsophus_rubicundulus;still;3500;28.3;8.1605182475;3.3428618046
Hylidae;Dendropsophus_sanborni;still;5100;17;8.5369958187;2.8332133441
Hylidae;Dendropsophus_sarayacuensis;still;2990;29;8.0030286664;3.36729583
Hylidae;Dendropsophus_sartori;still;3217;26;8.0762045272;3.258096538
Hylidae;Dendropsophus_seniculus;still;3969;37.7;8.2862694528;3.6296600945
Hylidae;Dendropsophus_triangulum;still;2298;28;7.7397944584;3.3322045102
Hylidae;Duellmanohyla_rufioculis;flowing;2320;30;7.7493224647;3.4011973817
Hylidae;Exerodonta_melanomma;flowing;2336;29.9;7.7561953439;3.3978584804
Hylidae;Exerodonta_sumichrasti;flowing;2510;27.7;7.8280380321;3.3214324132
Hylidae;Hyla_andersonii;still;1100;51;7.0030654588;3.9318256327
Hylidae;Hyla_arborea;still;2122;50;7.6601143192;3.9120230054
Hylidae;Hyla_chinensis;still;4000;32;8.2940496401;3.4657359028
Hylidae;Hyla_chrysoscelis;still;2400;51;7.7832240163;3.9318256327
Hylidae;Hyla_femoralis;still;2600;37;7.863266724;3.6109179126
Hylidae;Hyla_gratiosa;still;1840;68;7.5175208506;4.2195077052
Hylidae;Hyla_intermedia;still;2388;50;7.7782114745;3.9120230054
Hylidae;Hyla_meridionalis;still;2750;50;7.9193561907;3.9120230054
Hylidae;Hyla_molleri;still;2750;45;7.9193561907;3.8066624898
Hylidae;Hyla_squirella;still;3344;36;8.1149229742;3.5835189385
Hylidae;Hyla_versicolor;still;2200;51;7.6962126393;3.9318256327
Hylidae;Hylomantis_granulosa;flowing;1828;45.8;7.510977752;3.8242840911
Hylidae;Hylomantis_lemur;still;2396;40.8;7.7815559592;3.7086820814
Hylidae;Hyloscirtus_armatus;flowing;3600;68.5;8.1886891244;4.2268337453
Hylidae;Hyloscirtus_colymba;flowing;3520;37;8.1662162686;3.6109179126
Hylidae;Hyloscirtus_lindae;flowing;1553;68.1;7.3479438231;4.2209772132
Hylidae;Hyloscirtus_pacha;flowing;1854;60.8;7.5251007461;4.107589789
Hylidae;Hyloscirtus_palmeri;flowing;2500;45;7.8240460109;3.8066624898
Hylidae;Hyloscirtus_pantostictus;flowing;1570;63;7.3588308983;4.1431347264
Hylidae;Hyloscirtus_phyllognathus;flowing;2588;34;7.8586406556;3.5263605246
Hylidae;Hyloscirtus_tapichalaca;flowing;1469;63.8;7.2923371762;4.1557531904
Hylidae;Hypsiboas_albopunctatus;still;2168;60;7.6815603626;4.0943445622
Hylidae;Hypsiboas_bischoffi;still;1750;46.1;7.4673710669;3.83081295
Hylidae;Hypsiboas_cinerascens;still;1390;44;7.2370590261;3.7841896339
Hylidae;Hypsiboas_ericae;flowing;2700;34;7.901007052;3.5263605246
Hylidae;Hypsiboas_fasciatus;still;2530;40.3;7.8359745817;3.696351469
Hylidae;Hypsiboas_joaquini;flowing;1700;56.4;7.43838353;4.0324691585
Hylidae;Hypsiboas_microderma;flowing;3300;34;8.1016777475;3.5263605246
Hylidae;Hypsiboas_ornatissimus;still;2855;31;7.9568271221;3.4339872045
Hylidae;Hypsiboas_pardalis;still;1133;69;7.032624261;4.2341065046
Hylidae;Hypsiboas_pellucens;still;800;61.6;6.6846117277;4.1206618705
Hylidae;Hypsiboas_roraima;flowing;2616;44.9;7.8694017126;3.8044377947
Hylidae;Hypsiboas_rufitelus;still;1600;49.2;7.3777589082;3.8958936235
Hylidae;Hypsiboas_semiguttatus;flowing;2450;46.1;7.8038433035;3.83081295
Hylidae;Hypsiboas_semilineatus;still;1014;51;6.9216581842;3.9318256327
Hylidae;Isthmohyla_pseudopuma;still;956;41.4;6.8627579131;3.7232808808
Hylidae;Isthmohyla_rivularis;flowing;2420;34;7.7915228192;3.5263605246
Hylidae;Isthmohyla_tica;flowing;2228;34.1;7.708859601;3.5292973843
Hylidae;Litoria_gracilenta;still;2750;38;7.9193561907;3.6375861597
Hylidae;Litoria_impura;still;1240;42;7.1228666586;3.7376696183
Hylidae;Litoria_inermis;still;3800;33;8.2427563457;3.4965075615
Hylidae;Litoria_latopalmata;still;2900;39;7.972466016;3.6635616461
Hylidae;Litoria_leucova;flowing;4500;35.4;8.4118326758;3.5667118201
Hylidae;Litoria_pallida;still;1963;34;7.5822291943;3.5263605246
Hylidae;Litoria_raniformis;still;900;79.9;6.8023947633;4.3807758528
Hylidae;Litoria_rheocola;flowing;2500;35.5;7.8240460109;3.5695326965
Hylidae;Litoria_spartacus;flowing;2919;37.5;7.9789963709;3.624340933
Hylidae;Litoria_thesaurensis;still;1774;65;7.4809921629;4.1743872699
Hylidae;Litoria_tornieri;still;2725;33;7.9102237071;3.4965075615
Hylidae;Litoria_wollastoni;flowing;2950;42.7;7.9895604493;3.7541989202
Hylidae;Myersiohyla_kanaima;flowing;3600;37.8;8.1886891244;3.6323091026
Hylidae;Nyctimystes_cheesmani;flowing;1900;40;7.5496091652;3.6888794541
Hylidae;Osteocephalus_taurinus;still;1501;85;7.3138868316;4.4426512565
Hylidae;Osteopilus_septentrionalis;still;2300;89;7.7406644019;4.4886363697
Hylidae;Pachymedusa_dacnicolor;still;1727;82.6;7.4541410781;4.4140096805
Hylidae;Phyllomedusa_atelopoides;still;1150;37.4;7.0475172214;3.6216707044
Hylidae;Phyllomedusa_azurea;still;2333;43.46;7.754910272;3.7718409748
Hylidae;Phyllomedusa_bahiana;still;960;74.5;6.8669332845;4.3107991254
Hylidae;Phyllomedusa_bicolor;still;940;103;6.8458798753;4.6347289882
Hylidae;Phyllomedusa_burmeisteri;still;1500;75.8;7.3132203871;4.3280982926
Hylidae;Phyllomedusa_camba;still;860;74;6.7569323892;4.3040650932
Hylidae;Phyllomedusa_centralis;flowing;1451;42;7.2800082529;3.7376696183
Hylidae;Phyllomedusa_distincta;still;1250;66;7.1308988303;4.189654742
Hylidae;Phyllomedusa_duellmani;still;950;54.2;6.8564619846;3.9926809084
Hylidae;Phyllomedusa_hypochondrialis;still;2047;43.73;7.6241305857;3.7780343654
Hylidae;Phyllomedusa_megacephala;flowing;1722;43.2;7.451241685;3.7658404953
Hylidae;Phyllomedusa_neildi;still;762;63.8;6.6359465557;4.1557531904
Hylidae;Phyllomedusa_nordestina;still;2076;42.1;7.6381982443;3.7400477407
Hylidae;Phyllomedusa_palliata;still;1500;43.8;7.3132203871;3.7796338174
Hylidae;Phyllomedusa_sauvagii;still;2000;89.2;7.6009024595;4.4908810396
Hylidae;Phyllomedusa_tarsius;still;870;90;6.7684932116;4.4998096703
Hylidae;Phyllomedusa_tetraploidea;still;1700;63.8;7.43838353;4.1557531904
Hylidae;Phyllomedusa_tomopterna;still;1790;54;7.4899708988;3.9889840466
Hylidae;Phyllomedusa_trinitatis;still;800;81;6.6846117277;4.3944491547
Hylidae;Plectrohyla_cyclada;flowing;2072;39.5;7.6362696034;3.6763006719
Hylidae;Pseudacris_brachyphona;still;2394;32;7.7807208861;3.4657359028
Hylidae;Pseudacris_clarkii;still;3072;29;8.0300840943;3.36729583
Hylidae;Pseudacris_feriarum;still;2977;27.3;7.998671361;3.3068867022
Hylidae;Pseudacris_fouquettei;still;3138;29.8;8.0513409333;3.3945083935
Hylidae;Pseudacris_illinoensis;still;2168;43;7.6815603626;3.7612001157
Hylidae;Pseudacris_kalmi;still;2972;38.1;7.9969904058;3.6402142821
Hylidae;Pseudacris_nigrita;still;3149;28;8.0548402211;3.3322045102
Hylidae;Pseudacris_ornata;still;2651;39;7.8826922063;3.6635616461
Hylidae;Pseudacris_triseriata;still;2776;32;7.9287663216;3.4657359028
Hylidae;Pseudis_bolbodactyla;still;1937;45;7.5688956634;3.8066624898
Hylidae;Ptychohyla_euthysanota;flowing;3100;37.3;8.0391573905;3.6189933266
Hylidae;Ptychohyla_leonhardschultzei;flowing;2750;35.6;7.9193561907;3.5723456379
Hylidae;Ptychohyla_spinipollex;flowing;4300;41.2;8.3663703017;3.7184382564
Hylidae;Scinax_berthae;still;4886;22.2;8.4941292518;3.1000922889
Hylidae;Scinax_boesemani;still;1420;31.1;7.2584121506;3.4372078192
Hylidae;Scinax_boulengeri;still;1615;48.7;7.3870902357;3.8856790301
Hylidae;Scinax_crospedospilus;still;1350;33.3;7.2078598714;3.505557397
Hylidae;Scinax_cruentommus;still;3300;28;8.1016777475;3.3322045102
Hylidae;Scinax_fuscovarius;still;855;47.1;6.7511014689;3.852273001
Hylidae;Scinax_nasicus;still;1064;37;6.9697906699;3.6109179126
Hylidae;Scinax_proboscideus;still;2012;39.8;7.6068845312;3.6838669123
Hylidae;Scinax_rostratus;still;3050;45.7;8.0228968696;3.8220982979
Hylidae;Scinax_ruber;still;700;41.2;6.551080335;3.7184382564
Hylidae;Scinax_staufferi;still;3056;29;8.0248621503;3.36729583
Hylidae;Scinax_sugillatus;still;2023;42;7.6123368372;3.7376696183
Hylidae;Scinax_uruguayus;still;4350;25.8;8.3779311241;3.2503744919
Hylidae;Scinax_x-signatus;still;1110;42.5;7.0121152943;3.7495040759
Hylidae;Smilisca_baudinii;still;350;76;5.8579331545;4.3307333403
Hylidae;Smilisca_fodiens;still;2230;62.6;7.7097568645;4.1367652781
Hylidae;Smilisca_phaeota;still;372;65.5;5.9188938543;4.1820501426
Hylidae;Smilisca_puma;still;740;38.1;6.6066501862;3.6402142821
Hylidae;Smilisca_sordida;flowing;2695;45;7.8991534833;3.8066624898
Hylidae;Sphaenorhynchus_lacteus;still;2240;41.5;7.7142311448;3.7256934272
Hylidae;Sphaenorhynchus_orophilus;still;2350;32;7.7621706071;3.4657359028
Hylidae;Tlalocohyla_loquax;still;2323;44.7;7.7506147328;3.7999735016
Hylidae;Tlalocohyla_picta;still;2661;21.4;7.886457271;3.063390922
Hylidae;Trachycephalus_coriaceus;still;2090;63;7.644919345;4.1431347264
Hylidae;Trachycephalus_mesophaeus;still;1014;85;6.9216581842;4.4426512565
Hylidae;Trachycephalus_nigromaculatus;still;1990;86;7.5958899177;4.4543472963
Hylidae;Triprion_petasatus;still;2096;60.8;7.6477860454;4.107589789
Hylodidae;Crossodactylus_caramaschii;flowing;5000;25.8;8.5171931914;3.2503744919
Hylodidae;Crossodactylus_schmidti;flowing;3306;30;8.1034942784;3.4011973817
Hylodidae;Hylodes_dactylocinus;flowing;2973;27;7.997326823;3.295836866
Hylodidae;Hylodes_meridionalis;flowing;4400;37.5;8.3893598199;3.624340933
Hylodidae;Hylodes_perplicatus;flowing;3400;39.8;8.1315307106;3.6838669123
Hylodidae;Hylodes_phyllodes;flowing;5000;31.4;8.5171931914;3.4468078929
Hylodidae;Hylodes_sazimai;flowing;4750;28.5;8.465899897;3.3499040873
Hyperoliidae;Afrixalus_delicatus;still;4525;22.2;8.4173728561;3.1000922889
Hyperoliidae;Afrixalus_dorsalis;still;3587;28;8.1850714775;3.3322045102
Hyperoliidae;Afrixalus_fornasini;still;2450;38;7.8038433035;3.6375861597
Hyperoliidae;Afrixalus_knysnae;still;3800;25;8.2427563457;3.2188758249
Hyperoliidae;Afrixalus_laevis;flowing;3000;23;8.0063675677;3.1354942159
Hyperoliidae;Afrixalus_paradorsalis;still;2864;34;7.9599745281;3.5263605246
Hyperoliidae;Afrixalus_stuhlmanni;still;4650;21.1;8.4446224986;3.0492730405
Hyperoliidae;Heterixalus_andrakata;still;3200;29;8.0709060888;3.36729583
Hyperoliidae;Heterixalus_betsileo;still;3000;28;8.0063675677;3.3322045102
Hyperoliidae;Heterixalus_boettgeri;still;2850;25;7.9550742733;3.2188758249
Hyperoliidae;Heterixalus_carbonei;still;3200;26.4;8.0709060888;3.2733640102
Hyperoliidae;Heterixalus_luteostriatus;still;3500;28;8.1605182475;3.3322045102
Hyperoliidae;Heterixalus_madagascariensis;still;3375;35;8.1241506033;3.5553480615
Hyperoliidae;Heterixalus_tricolor;still;3000;26;8.0063675677;3.258096538
Hyperoliidae;Heterixalus_variabilis;still;3500;31;8.1605182475;3.4339872045
Hyperoliidae;Hyperolius_alticola;flowing;2250;33;7.7186854952;3.4965075615
Hyperoliidae;Hyperolius_argus;still;2000;34;7.6009024595;3.5263605246
Hyperoliidae;Hyperolius_baumanni;still;3000;30;8.0063675677;3.4011973817
Hyperoliidae;Hyperolius_cinnamomeoventris;still;3246;28;8.0851787481;3.3322045102
Hyperoliidae;Hyperolius_cystocandicans;still;2813;28;7.9420068085;3.3322045102
Hyperoliidae;Hyperolius_guttulatus;flowing;2000;35;7.6009024595;3.5553480615
Hyperoliidae;Hyperolius_kivuensis;still;2649;33;7.8819374893;3.4965075615
Hyperoliidae;Hyperolius_montanus;still;2750;28;7.9193561907;3.3322045102
Hyperoliidae;Hyperolius_phantasticus;still;2529;37;7.8355792467;3.6109179126
Hyperoliidae;Hyperolius_picturatus;flowing;3850;31;8.2558284273;3.4339872045
Hyperoliidae;Hyperolius_puncticulatus;still;2000;33;7.6009024595;3.4965075615
Hyperoliidae;Hyperolius_pusillus;still;4950;21;8.5071428556;3.0445224377
Hyperoliidae;Hyperolius_torrentis;flowing;3500;38;8.1605182475;3.6375861597
Hyperoliidae;Hyperolius_viridiflavus;flowing;4250;30;8.3546742619;3.4011973817
Hyperoliidae;Kassina_maculata;still;1700;65;7.43838353;4.1743872699
Hyperoliidae;Kassina_senegalensis;still;1000;49;6.907755279;3.8918202981
Hyperoliidae;Phlyctimantis_verrucosus;still;1600;52;7.3777589082;3.9512437186
Hyperoliidae;Semnodactylus_wealii;still;2000;44;7.6009024595;3.7841896339
Leptodactylidae;Edalorhina_perezi;still;2700;30.2;7.901007052;3.4078419244
Leptodactylidae;Engystomops_coloradorum;still;1060;24.1;6.9660241871;3.1822118405
Leptodactylidae;Engystomops_guayaco;still;2114;19.4;7.6563371664;2.9652730661
Leptodactylidae;Engystomops_pustulatus;still;947;29.9;6.8532990932;3.3978584804
Leptodactylidae;Engystomops_pustulosus;still;546;34;6.3026189757;3.5263605246
Leptodactylidae;Engystomops_randi;still;1116;18.56;7.0175061429;2.9210087274
Leptodactylidae;Eupemphix_nattereri;still;710;42.7;6.56526497;3.7541989202
Leptodactylidae;Leptodactylus_bufonius;still;1500;53.6;7.3132203871;3.9815490681
Leptodactylidae;Leptodactylus_chaquensis;still;365;99.7;5.8998973536;4.602165677
Leptodactylidae;Leptodactylus_didymus;still;780;46.7;6.6592939197;3.8437441647
Leptodactylidae;Leptodactylus_diedrus;still;820;40.4;6.7093043403;3.698829785
Leptodactylidae;Leptodactylus_elenae;still;1160;45.2;7.0561752841;3.8110970868
Leptodactylidae;Leptodactylus_fuscus;still;560;52.1;6.3279367837;3.9531649488
Leptodactylidae;Leptodactylus_gracilis;still;1970;47.8;7.5857888217;3.8670256395
